Customer_ID,Customer_Name,Email,city_zipcode,Address,phone_number
1,John Doe,john.doe@example.com,12345,101 Main Street,1234567890
2,Jane Smith,jane.smith@example.com,67890,202 South Street,0987654321
3,Alice Johnson,alice.j@example.com,11223,303 West Street,5551234567
4,David Wilson,david.wilson@example.com,54321,404 Hill Street,2345678901
5,Emily Davis,emily.davis@example.com,67891,505 Pine Road,3456789012
6,Frank Miller,frank.miller@example.com,78912,606 Oak Avenue,4567890123
7,Grace Taylor,grace.taylor@example.com,89023,707 Maple Lane,5678901234
8,Hannah Anderson,hannah.anderson@example.com,90134,808 Elm Street,6789012345
11,Vicki Vincent,mcdanielerin@example.net,48830,"04210 Miller Fork
Jeanburgh, LA 54431",16299801388
12,John Wright,deankenneth@example.org,44438,"89041 George Inlet Apt. 533
Lopezshire, DE 31315",6158950154
13,Katrina Davis,steven97@example.com,62777,"03626 Rodney Club Apt. 269
Davidstad, TN 11865",4155204286
14,Larry Garrett,shawnkane@example.org,46449,"Unit 4685 Box 4076
DPO AP 76325",4747546760
15,Ashley Dillon,petersricardo@example.org,21614,"PSC 7024, Box 7772
APO AE 56535",6782737602
16,Cynthia Rivera,salasthomas@example.org,19098,"6935 Ryan Branch Suite 801
Joshuaburgh, ND 78797",3429989756549
17,Steven Edwards,sandersthomas@example.com,69824,"99519 Collins Junctions
Port John, PR 68589",5214940016
18,Amber Butler,gomezamy@example.net,96404,"63332 Estrada Alley
Brianville, FM 21907",7935807576
19,Courtney Martinez DDS,owensdebbie@example.net,25370,"2558 Edward Spurs Suite 554
Michaelland, PW 63992",18738318664
20,Jeffrey Walsh,mcraig@example.com,32015,"2778 Smith Light Apt. 013
Julianfort, FL 25553",8673068946
21,Deborah Terry,brandonsmith@example.net,67747,"USNS Cook
FPO AE 34811",5937599946
22,Brandon Ross,brendagonzalez@example.net,82777,"1645 Bishop Village
East Nicolebury, MI 52082",166745062040371
23,Stephanie Wilson,barrykristen@example.org,67786,"8858 Nelson Corner Suite 639
Douglaston, DC 21426",7088758335660
24,Michele Kelly,alison75@example.net,10469,"88118 John Vista
Williamsmouth, MA 43530",182574437550968
25,Corey Craig,gabrielunderwood@example.com,12067,"22988 Jennifer Neck
New Kaylaborough, NH 73896",1319516624768
26,Benjamin Griffin,whiteheather@example.com,72948,"8494 Jason Rapids
North Kimberlystad, PW 66586",98059465688975
27,Brian Wheeler,smartinez@example.org,28730,"959 Esparza Square
Marshallview, LA 56603",1442429864332
28,Patricia Watson,davidmartinez@example.com,76748,"0345 Regina Place
West Ryan, GU 89755",9864198294
29,Lisa Wright,edwardsfrancisco@example.org,42569,"4371 Kayla Brooks
Montgomeryview, AS 76762",5077826437
30,Randy Adkins,morganfreeman@example.com,25889,"031 Lambert Gateway
Stevensbury, GA 28455",6218862119
31,Martha Bell,nicholas42@example.com,50050,"49413 Thomas Overpass Apt. 362
Lake Maria, TX 03515",708819502966690
32,Sandra Mills,patrickburnett@example.net,82504,"8899 Duarte Crescent
North Christopher, MD 40459",1298798702823
33,Erica Williams,michaeldavis@example.com,32123,"0656 Smith Creek Suite 568
Port Ashley, ID 81614",12522616356
34,Jimmy Johnston,gwilliams@example.net,84199,"71715 Rodney Loop
West Meganberg, GA 06303",5062275987
35,Joseph Mccann,jonathanthompson@example.net,53298,"2062 Buchanan Station
Watersstad, AS 09832",6136625856
